Código UPZ;CMNOMUPLA;Año;IPM;TAE;TD;SATISFACCION_ING_TRAB
806;Las Nieves;2021;0,991616368;96,67002106;7,757717933;6,396021683
806;Monte blanco;2021;0,991616368;96,67002106;7,757717933;6,396021683
807;Pardo Rubio;2021;1,999470592;96,2530365;9,918336859;5,940597396
807;Chico Lago;2021;1,999470592;96,2530365;9,918336859;5,940597396
808;San Jose;2021;0,247632265;97,69275665;6,492715128;7,522081758
808;Bavaria;2021;0,247632265;97,69275665;6,492715128;7,522081758
809;Usaquen;2021;4,973664284;93,98516083;8,081393604;6,265636143
809;Paseo De Los Libertadores;2021;4,973664284;93,98516083;8,081393604;6,265636143
810;La Alhambra;2021;1,493618965;94,32098389;8,282679648;6,253093743
810;Guaymaral;2021;1,493618965;94,32098389;8,282679648;6,253093743
810;Doce de Octubre;2021;1,493618965;94,32098389;8,282679648;6,253093743
811;La Esmeralda;2021;21,38210869;90,24012756;20,26466147;4,644272925
811;Puente Aranda;2021;21,38210869;90,24012756;20,26466147;4,644272925
812;Alamos;2021;13,02615547;92,36889648;13,80612872;6,58067081
812;Ciudad Usme;2021;13,02615547;92,36889648;13,80612872;6,58067081
813;Danubio;2021;1,047009587;96,49324036;9,51465701;7,145947137
813;Capellania;2021;1,047009587;96,49324036;9,51465701;7,145947137
814;Sagrado Corazon;2021;3,594464779;84,68589783;8,37535777;6,825577833
814;El Tesoro;2021;3,594464779;84,68589783;8,37535777;6,825577833
815;Chapinero;2021;15,08644676;92,79716492;18,86769991;4,706531399
815;El Refugio;2021;15,08644676;92,79716492;18,86769991;4,706531399
815;Santa Barbara;2021;15,08644676;92,79716492;18,86769991;4,706531399
816;La Uribe;2021;1,109908342;95,18276978;6,748923068;7,007348312
816;San Jose de Bavaria;2021;1,109908342;95,18276978;6,748923068;7,007348312
817;Jardin Botanico;2021;0,643683314;96,97915649;3,639869169;7,658399471
817;El Mochuelo;2021;0,643683314;96,97915649;3,639869169;7,658399471
